,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
103,Oblivskaya,100,RU,1570571543,82,48.54,42.5,44.32,11.18
104,Chuy,33,UY,1570571543,68,-33.69,-53.46,64.51,6.1
105,Cape,0,CL,1570571544,37,-36.41,-71.9,69.8,10.29
106,Tasiilaq,100,GL,1570571544,60,65.61,-37.64,42.8,14.99
107,Araouane,0,ML,1570571545,10,18.9,-3.53,93.91,8.86
108,Provideniya,75,RU,1570571545,86,64.42,-173.23,41.0,2.59
109,Bocanda,100,CI,1570571546,96,7.06,-4.5,72.92,1.79
110,Hofn,70,IS,1570571546,96,64.25,-15.21,36.96,15.05
111,Kot,0,IN,1570571546,78,28.33,77.17,75.2,5.03
112,Kaitangata,100,NZ,1570571547,91,-46.28,169.85,51.01,6.48
113,Puerto,0,AR,1570571252,27,-51.62,-69.23,50.0,27.51
114,Codrington,90,AU,1570571548,67,-28.95,153.24,66.0,8.05
115,Lavrentiya,100,RU,1570571548,99,65.58,-170.99,33.29,3.58
116,Waingapu,29,ID,1570571548,77,-9.65,120.26,68.55,4.41
117,East,100,UG,1570571549,96,3.43,31.7,67.25,2.66
118,Grindavik,90,IS,1570571549,81,63.84,-22.43,51.8,4.7
119,Severo-Kurilsk,100,RU,1570571549,95,50.68,156.12,41.56,16.81
120,Pontes,80,BR,1570571549,52,-7.27,-48.27,85.56,2.62
121,Luderitz,0,NA,1570571550,72,-26.65,15.16,60.8,25.28
122,Kungurtug,32,RU,1570571550,81,50.6,97.53,34.56,4.48
123,Raudeberg,99,NO,1570571550,71,61.99,5.14,50.0,12.75
124,Thalassery,40,IN,1570571550,94,11.75,75.49,75.2,4.7
125,Fayetteville,1,US,1570571499,38,36.06,-94.16,73.4,7.72
126,Raseiniai,90,LT,1570571551,93,55.38,23.12,41.0,13.87
127,Namatanai,19,PG,1570571552,83,-3.66,152.44,79.71,11.32
128,Sur,0,OM,1570571552,71,22.57,59.53,78.29,2.33
129,Augustow,100,PL,1570571552,93,53.84,22.98,45.54,13.3
130,Savalou,100,BJ,1570571553,94,7.93,1.98,70.83,3.06
131,Zabid,27,YE,1570571554,69,14.2,44.5,66.89,4.38
132,Grand,90,FR,1570571306,87,48.39,5.49,53.6,2.24
133,Coquimbo,0,CL,1570571557,72,-29.95,-71.34,60.8,10.29
134,Tasgaon,76,IN,1570571557,81,17.04,74.6,74.78,6.64
135,Brownsville,40,US,1570571557,52,25.91,-97.49,89.6,10.29
136,Peace,28,UA,1570571558,63,48.31,38.07,37.9,2.91
137,Pervomayskoye,0,RU,1570571558,89,57.07,86.23,33.86,5.08
138,Beruwala,100,LK,1570571559,77,6.48,79.98,81.94,10.49
139,Hamilton,20,CA,1570571286,72,43.26,-79.87,62.6,10.29
140,Nikolskoye,90,RU,1570571559,86,59.7,30.79,39.99,4.47
141,Touros,40,BR,1570571560,74,-5.2,-35.46,78.8,9.17
142,Okhotsk,100,RU,1570571561,98,59.36,143.24,29.75,9.6
143,Beohari,0,IN,1570571561,75,24.05,81.38,68.9,1.72
144,Havre-Saint-Pierre,20,CA,1570571562,46,50.23,-63.6,53.6,12.75
145,Talnakh,0,RU,1570571563,92,69.49,88.39,17.6,8.95
146,Marathon,5,CA,1570571563,58,48.72,-86.38,59.0,13.87
147,Ribeira,20,PT,1570571564,87,41.76,-8.56,62.01,5.82
148,Egvekinot,51,RU,1570571564,92,66.32,-179.17,23.44,10.83
149,Bredasdorp,67,ZA,1570571565,82,-34.53,20.04,57.2,9.17
150,Sao,0,IN,1570571565,80,20.51,76.21,72.0,2.84
151,Burns,86,US,1570571565,40,43.59,-119.05,61.0,15.99
152,Srednekolymsk,86,RU,1570571566,87,67.46,153.71,10.4,5.24
153,Puerto,0,AR,1570571566,27,-51.62,-69.23,50.0,27.51
154,Lorengau,82,PG,1570571566,79,-2.02,147.27,80.81,7.05
155,Ilulissat,5,GL,1570571567,58,69.22,-51.1,30.2,1.12
156,Constitucion,40,MX,1570571567,23,23.99,-104.67,78.01,3.36
157,Sistranda,75,NO,1570571567,75,63.73,8.83,42.8,10.29
158,Vardo,1,US,1570571568,55,39.62,-77.74,64.99,5.82
159,Nizwa,6,OM,1570571568,84,22.93,57.53,70.56,3.44
160,Libreville,40,GA,1570571568,83,0.39,9.45,80.6,10.29
161,Nanakuli,90,US,1570571569,61,21.39,-158.15,84.99,4.7
162,Kupang,0,ID,1570571569,66,-10.16,123.6,76.85,6.82
163,Ginir,2,ET,1570571570,86,7.14,40.71,56.09,3.49
164,Ugoofaaru,16,MV,1570571570,73,5.67,73.0,82.64,9.6
165,Esna,26,RO,1570571570,62,45.2,27.57,48.33,9.89
166,Dezful,0,IR,1570571570,27,32.38,48.4,78.75,4.65
167,Deputatskiy,100,RU,1570571571,98,69.3,139.9,4.55,2.04
168,Sorong,94,ID,1570571467,96,-0.86,131.25,74.24,3.47
169,Kampot,40,KH,1570571571,94,10.62,104.18,77.0,2.24
170,Alwar,0,IN,1570571572,39,27.56,76.61,75.46,2.39
171,Huarmey,11,PE,1570571572,53,-10.07,-78.15,71.08,8.37
172,San,100,ML,1570571572,31,13.3,-4.9,87.42,9.86
173,Monopoli,0,IT,1570571573,87,40.95,17.3,64.0,6.93
174,Meulaboh,100,ID,1570571574,78,4.14,96.13,79.17,4.79
175,Alyangula,100,AU,1570571575,88,-13.85,136.42,69.8,5.82
176,Kruisfontein,0,ZA,1570571576,93,-34.0,24.73,55.57,4.99
177,Saldanha,1,PT,1570571577,77,41.42,-6.55,64.46,7.49
178,Parrita,90,CR,1570571578,94,9.52,-84.33,71.6,10.29
179,Izhmorskiy,14,RU,1570571579,96,56.19,86.64,36.5,4.77
180,Fallon,1,US,1570571580,22,46.84,-105.12,75.2,17.22
181,Morondava,39,MG,1570571580,71,-20.3,44.28,79.53,12.17
182,Inuvik,75,CA,1570571581,75,68.36,-133.71,33.8,5.82
183,Bur,0,FI,1570571581,92,63.56,22.87,37.0,1.12
184,Tupik,100,RU,1570571581,84,54.43,119.94,26.7,1.48
185,Port,83,CD,1570571582,46,-7.04,29.76,69.09,3.0
186,Lebu,75,ET,1570571582,72,8.96,38.73,59.0,6.93
187,Wana,0,PK,1570571582,50,32.31,69.59,52.58,3.0
188,Valverde,20,IT,1570571583,64,37.58,15.12,73.4,26.4
189,San,100,ML,1570571583,31,13.3,-4.9,87.41,9.86
190,Kuusamo,90,FI,1570571584,97,65.96,29.19,32.0,9.17
191,Praya,40,ID,1570571587,94,-8.71,116.27,73.4,1.64
192,Bayir,40,TR,1570571587,93,37.27,28.22,64.4,3.36
193,Champoton,40,MX,1570571587,79,19.35,-90.72,84.2,6.93
194,San,100,ML,1570571588,31,13.3,-4.9,87.42,9.86
195,Fortuna,20,US,1570571588,55,40.6,-124.16,66.2,20.8
196,Bethel,1,US,1570571589,87,60.79,-161.76,46.4,13.87
197,Saint-Philippe,1,CA,1570571589,45,45.36,-73.48,63.0,5.21
198,Riyadh,0,SA,1570571534,37,24.63,46.72,82.4,3.36
199,Palmer,20,AU,1570571589,57,-34.85,139.16,55.0,6.93
200,Unai,42,BR,1570571590,41,-16.36,-46.91,83.41,6.94
201,Mount,40,GB,1570571590,81,53.66,-1.85,53.01,12.75
202,Nobres,98,BR,1570571590,69,-14.72,-56.34,77.11,5.25
203,Klaksvik,86,FO,1570571590,93,62.23,-6.59,50.0,17.22
204,Phan,0,TH,1570571591,100,19.55,99.74,69.8,1.31
205,Falam,92,MM,1570571591,98,22.91,93.68,59.75,0.74
206,Pacific,20,US,1570571592,58,47.26,-122.25,53.6,14.99
207,Bayan,100,CN,1570571592,74,36.1,102.26,45.42,3.27
208,Yeniseysk,0,RU,1570571592,92,58.45,92.17,30.19,4.74
209,Ust-Tsilma,13,RU,1570571592,89,65.44,52.15,32.67,10.57
210,Devonport,43,AU,1570571593,85,-41.18,146.36,51.01,2.44
211,Aklavik,75,CA,1570571594,69,68.22,-135.01,33.8,4.7
212,Gazanjyk,0,TM,1570571596,45,39.24,55.52,67.79,1.9
213,Taoudenni,0,ML,1570571597,9,22.68,-3.98,89.02,11.49
214,Mouila,100,GA,1570571597,95,-1.86,11.06,74.02,4.12
215,Khandyga,95,RU,1570571597,67,62.65,135.58,24.34,11.27
216,Hermosillo,5,MX,1570571597,24,29.09,-110.96,100.4,4.7
217,Churapcha,100,RU,1570571598,91,62.0,132.43,28.19,10.85
218,Laguna,75,BZ,1570571598,66,16.17,-88.94,89.6,6.93
219,Zvishavane,0,ZW,1570571599,27,-20.32,30.05,74.3,5.16
220,Matay,23,EG,1570571599,33,28.42,30.79,78.4,11.63
221,Padang,100,ID,1570571599,96,-0.92,100.36,66.58,2.04
222,Rafraf,40,TN,1570571600,72,37.19,10.18,68.0,10.29
223,Iqaluit,90,CA,1570571600,93,63.75,-68.52,41.0,3.36
224,Homer,90,US,1570571600,61,59.64,-151.54,51.8,8.05
225,Auki,99,NG,1570571601,82,12.18,6.51,75.44,3.89
226,Khatanga,41,RU,1570571601,93,71.98,102.47,16.95,4.66
227,Puyang,64,CN,1570571601,72,35.76,115.02,58.25,4.59
228,Mao,75,DO,1570571602,55,19.55,-71.08,89.6,16.11
229,Torbay,90,CA,1570571361,93,47.66,-52.73,57.0,17.22
230,Namibe,100,AO,1570571602,88,-15.19,12.15,66.87,8.35
231,Gat,20,SN,1570571603,83,14.69,-16.54,84.2,3.36
232,Fuzhou,75,CN,1570571603,73,26.08,119.3,75.2,17.9
233,Caraballeda,75,VE,1570571603,70,10.61,-66.85,84.2,6.93
234,Beringovskiy,13,RU,1570571604,67,63.05,179.32,32.11,15.6
235,Norman,1,US,1570571604,36,35.22,-97.44,77.0,14.99
236,Huambo,100,AO,1570571604,82,-12.78,15.73,64.0,4.99
237,Camopi,99,GF,1570571605,49,3.17,-52.33,87.87,4.16
238,Port,83,CD,1570571519,46,-7.04,29.76,69.09,3.0
239,Cockburn,0,AU,1570571606,56,-32.08,141.0,44.6,5.82
240,Olinda,90,AU,1570571606,93,-37.84,145.39,54.0,9.17
241,Almeria,0,ES,1570571484,64,36.84,-2.46,71.6,6.93
242,Port,83,CD,1570571582,46,-7.04,29.76,69.09,3.0
243,Kargil,75,PK,1570571607,58,34.56,76.13,35.0,7.16
244,Souillac,75,FR,1570571607,100,45.6,-0.6,57.2,3.36
245,Fort,100,IN,1570571607,93,17.96,79.61,73.68,4.45
246,Thompson,90,CA,1570571608,84,55.74,-97.86,41.0,16.11
247,Dongsheng,50,CN,1570571608,85,29.72,112.52,60.77,3.51
248,Miri,100,NG,1570571608,87,10.31,9.75,72.19,2.66
249,Ulladulla,40,AU,1570571608,71,-35.36,150.48,52.0,14.99
250,Nador,0,MA,1570571431,78,35.17,-2.93,71.6,3.36
251,Tigil,100,RU,1570571609,94,57.8,158.67,39.93,7.63
252,Margate,75,AU,1570571609,66,-43.03,147.26,50.0,8.05
253,Mwinilunga,99,ZM,1570571609,67,-11.73,24.43,63.76,2.37
254,Thinadhoo,3,MV,1570571610,74,0.53,72.93,80.93,9.13
255,Cururupu,100,BR,1570571610,75,-1.82,-44.87,77.7,4.18
256,Pavlovskaya,100,RU,1570571611,86,46.13,39.78,47.5,4.36
257,Kutum,0,SD,1570571611,54,14.2,24.66,76.01,10.01
258,Itaituba,75,BR,1570571611,88,-4.26,-55.99,78.8,11.41
259,Leh,100,IN,1570571612,48,34.16,77.58,33.98,4.65
260,Orzu,0,RO,1570571612,82,44.77,23.24,46.0,3.3
261,Mahebourg,40,MU,1570571612,83,-20.41,57.7,71.6,14.99
262,Shache,100,CN,1570571612,68,38.42,77.24,66.99,17.75
263,Paamiut,100,GL,1570571614,95,61.99,-49.67,39.62,10.6
264,Newport,54,GB,1570571616,87,51.59,-3.0,54.0,9.17
265,Manuk,0,ID,1570571616,93,-7.9,111.5,67.0,2.42
266,Bosaso,0,SO,1570571617,78,11.28,49.18,84.11,12.76
267,Berkak,100,NO,1570571617,92,62.83,10.01,36.0,6.38
268,Broome,15,GB,1570571617,81,52.47,1.45,52.0,8.05
269,Dikson,33,RU,1570571618,91,73.51,80.55,19.46,13.15
270,Sayyan,84,YE,1570571618,72,15.17,44.32,68.3,3.06
271,Esperance,100,AU,1570571618,81,-33.86,121.89,51.8,14.99
272,Geraldton,20,CA,1570571618,45,49.72,-86.95,62.6,18.34
273,Villefranche-sur-Saone,0,FR,1570571619,45,45.98,4.72,69.8,18.34
274,Epe,20,DE,1570571619,82,52.18,7.04,55.4,10.29
275,Kolaras,0,IN,1570571619,64,25.22,77.61,73.21,3.71
276,Leningradskiy,100,RU,1570571620,97,69.38,178.42,33.8,25.75
277,Izhma,39,RU,1570571620,82,65.01,53.91,33.49,10.91
278,Russell,1,US,1570571620,40,38.9,-98.86,75.2,20.8
279,Custoias,0,PT,1570571621,8,41.11,-7.32,66.99,3.49
280,Affery,100,CI,1570571621,99,6.32,-3.95,73.15,1.9
281,Ostrovnoy,100,RU,1570571622,98,68.05,39.51,38.01,14.42
282,Kapit,100,MY,1570571622,99,2.02,112.94,71.77,0.4
283,Nouadhibou,0,MR,1570571622,61,20.93,-17.03,77.0,12.75
284,Lalmohan,65,BD,1570571622,86,22.34,90.74,76.95,1.61
285,Hirara,40,JP,1570571623,78,24.8,125.28,78.8,12.75
286,Maldonado,0,UY,1570571565,63,-34.91,-54.96,61.46,7.4
287,Sibolga,98,ID,1570571624,84,1.74,98.78,78.86,9.08
288,Peabiru,0,BR,1570571624,50,-23.91,-52.35,78.8,8.05
289,Kibala,99,TD,1570571624,88,9.11,18.35,77.0,2.63
290,Tuktoyaktuk,75,CA,1570571625,69,69.44,-133.03,33.8,14.99
291,Putai,20,FR,1570571625,93,46.66,1.99,55.99,8.05
292,Comodoro,95,BR,1570571560,72,-13.66,-59.79,80.03,4.36
293,Manadhoo,92,MV,1570571625,77,5.77,73.38,82.09,9.81
294,Maniago,0,IT,1570571626,84,46.17,12.71,55.0,2.4
295,Chihuahua,5,MX,1570571626,37,28.66,-106.08,82.4,13.87
296,Yanggu,47,CN,1570571626,97,25.39,116.32,64.9,2.17
297,Rawson,100,AR,1570571374,27,-43.3,-65.11,60.74,13.76
298,Rio,1,US,1570571627,37,41.11,-90.4,72.0,6.93
299,Vila,75,IT,1570571627,93,45.18,8.4,61.0,2.24
300,Capaci,20,IT,1570571627,64,38.17,13.24,71.6,11.41
301,Salinopolis,32,BR,1570571628,76,-0.61,-47.36,81.55,21.34
302,Bontang,94,ID,1570571628,99,0.12,117.47,73.16,1.16
303,Guasdualito,75,VE,1570571628,100,7.24,-70.73,77.0,4.7
304,Eureka,20,US,1570571446,55,40.8,-124.16,66.2,20.8
305,Ola,100,RU,1570571629,86,59.58,151.3,30.7,13.61
306,Barcelos,100,BR,1570571629,77,-0.97,-62.93,81.44,5.5
307,Havelock,90,US,1570571629,88,34.88,-76.9,72.0,13.87
308,Atar,62,MR,1570571630,12,20.52,-13.05,91.66,11.83
309,Lewisporte,75,CA,1570571630,100,49.25,-55.06,55.4,5.82
310,Port,83,CD,1570571519,46,-7.04,29.76,69.09,3.0
311,Sydney,75,AU,1570571437,58,-33.85,151.22,57.99,17.22
312,Victoria,75,BN,1570571631,94,5.28,115.24,77.0,1.12
313,Bilibino,100,RU,1570571631,95,68.06,166.44,12.97,3.65
314,Dawei,8,MM,1570571631,79,14.07,98.19,80.32,6.53
315,Sainthia,90,IN,1570571631,94,23.95,87.68,74.8,5.26
316,Valparaiso,1,US,1570571497,35,41.47,-87.06,73.99,5.82
317,Leninskoye,0,RU,1570571632,90,54.82,82.85,33.8,2.24
318,Katsuura,20,JP,1570571632,100,33.93,134.5,66.2,8.05
319,Dingle,100,PH,1570571632,86,11.0,122.67,73.94,3.07
320,Barguzin,61,RU,1570571633,81,53.62,109.63,31.24,11.53
321,Pingliang,100,CN,1570571636,86,35.54,106.68,43.99,3.03
322,Santa,0,PH,1570571456,74,17.49,120.43,82.32,13.65
323,Petropavlovsk-Kamchatskiy,20,RU,1570571637,93,53.05,158.65,37.4,4.47
324,Ancud,20,CL,1570571638,62,-41.87,-73.83,51.8,10.29
325,Bereda,0,ES,1570571638,100,43.27,-7.54,55.99,3.36
326,Saint-Pierre,40,FR,1570571638,100,48.95,4.24,55.0,10.29
327,Nanortalik,100,GL,1570571639,94,60.14,-45.24,39.57,5.55
328,Tomatlan,6,MX,1570571639,77,19.93,-105.25,85.23,6.58
329,Waipawa,0,NZ,1570571639,58,-39.94,176.59,66.0,14.0
330,Kettering,75,AU,1570571639,66,-43.13,147.25,50.0,8.05
331,Balikpapan,83,ID,1570571640,95,-1.24,116.86,72.22,3.24
332,Xochistlahuaca,98,MX,1570571640,87,16.79,-98.24,71.92,2.33
333,Goroka,35,PG,1570571640,91,-6.07,145.39,57.18,4.03
334,Abu,20,JP,1570571641,82,34.51,131.49,60.01,4.7
335,Chapeco,20,BR,1570571641,57,-27.1,-52.62,75.2,3.44
336,Bubaque,95,GW,1570571641,84,11.28,-15.83,79.26,11.52
337,Canutama,65,BR,1570571641,55,-6.53,-64.38,86.98,4.14
338,Fortuna,20,US,1570571588,55,40.6,-124.16,66.2,20.8
339,Baruun-Urt,0,MN,1570571642,51,46.68,113.28,44.26,13.39
340,Owando,18,CG,1570571643,84,-0.49,15.91,73.66,0.67
341,Hasaki,75,JP,1570571643,72,35.73,140.83,64.4,8.05
342,Tete,0,MZ,1570571643,35,-16.16,33.59,86.0,3.36
343,Maragogi,44,BR,1570571424,88,-9.01,-35.22,71.99,5.59
344,Khani,0,GE,1570571644,82,41.96,42.96,64.4,10.29
345,Necochea,0,AR,1570571644,81,-38.55,-58.74,52.0,3.0
346,Tautira,75,PF,1570571645,62,-17.73,-149.15,84.2,4.7
347,Armacao,40,BR,1570571645,78,-27.75,-48.51,75.0,8.05
348,Bandarbeyla,29,SO,1570571645,83,9.49,50.81,76.6,5.93
349,Gorin,59,BF,1570571646,82,12.34,-0.67,76.75,15.59
350,Faanui,56,PF,1570571646,84,-16.48,-151.75,77.41,20.76
351,Fondi,0,IT,1570571647,77,41.36,13.43,64.4,8.05
352,Takoradi,97,GH,1570571647,90,4.89,-1.75,76.08,8.03
353,Turayf,40,SA,1570571647,57,31.68,38.65,77.0,9.17
354,Along,100,IN,1570571647,99,28.17,94.8,55.62,1.3
355,Zhigansk,80,RU,1570571648,74,66.77,123.37,22.95,10.44
356,Sorland,20,NO,1570571648,60,67.67,12.69,41.0,13.87
357,Kiruna,99,SE,1570571649,92,67.86,20.23,28.4,5.82
358,Kiunga,100,PG,1570571649,99,-6.12,141.3,72.12,1.58
359,Zlatibor,0,RS,1570571649,65,43.73,19.7,46.4,6.93
360,Caluquembe,100,AO,1570571650,66,-13.78,14.68,65.72,9.42
361,Kabalo,70,CD,1570571650,90,-6.05,26.92,70.69,4.99
362,Aksha,100,RU,1570571650,79,50.28,113.29,42.04,8.21
363,Inhambane,95,MZ,1570571651,89,-23.87,35.38,75.72,12.19
364,Atlantic,1,US,1570571644,37,41.4,-95.01,71.6,12.75
365,Aras,48,ES,1570571651,82,42.56,-2.36,66.0,2.24
366,Bosilegrad,29,RS,1570571651,75,42.5,22.47,46.23,5.53
367,Agadez,1,NE,1570571652,51,16.97,7.99,82.4,21.92
368,Ifanadiana,79,MG,1570571652,99,-21.3,47.64,63.0,1.14
369,Aksarka,97,RU,1570571652,89,66.56,67.8,33.84,11.48
370,Teguldet,0,RU,1570571653,90,57.31,88.17,30.81,4.27
371,Mgandu,32,TZ,1570571654,65,-5.96,34.11,66.92,11.84
372,Beloha,0,MG,1570571657,43,-25.17,45.06,78.31,2.91
373,Elko,1,US,1570571657,18,40.83,-115.76,71.6,14.99
374,Odesskoye,0,RU,1570571658,66,54.21,72.97,53.88,6.22
375,Shingu,8,JP,1570571658,97,33.72,135.99,50.24,7.16
376,Richards,1,US,1570571659,40,46.84,-95.91,69.8,18.34
377,Anadyr,75,RU,1570571659,82,64.73,177.51,32.0,13.42
378,Foix,42,FR,1570571659,77,42.97,1.61,66.99,2.24
379,Reitz,0,ZA,1570571660,72,-27.8,28.43,51.87,7.41
380,Kidal,32,ML,1570571660,24,18.44,1.41,90.72,11.22
381,Rocha,0,UY,1570571660,64,-34.48,-54.34,60.5,4.43
382,Darnah,100,LY,1570571661,74,32.77,22.64,77.37,24.7
